id,manufacturer,model,property,value,unit,conditions,source_url,source_sha256,pdf_page,document_revision,checked_at,verification,review_method,engineering_approval
SPEC-011,stromag,SH / SHV,overview disc diameter range,300 to 3000,mm,Family overview; individual model selection still required,https://www.stromag.com/-/media/Project/Altramotion/shared/files/Literature/brand/stromag/catalogs/mcc-p-8518-sg-en-a4-web.pdf?rev=d1104cc1554a466487df155561b85270,d0320fa92a53d3f2b8424ad6154be1e5a25037e96734d79ca4803395351c8f51,61,MCC-P-8518-SG-EN-A4 04/25,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-012,stromag,TH / THC,overview disc diameter range,1000 to 2000,mm,Family overview; individual model selection still required,https://www.stromag.com/-/media/Project/Altramotion/shared/files/Literature/brand/stromag/catalogs/mcc-p-8518-sg-en-a4-web.pdf?rev=d1104cc1554a466487df155561b85270,d0320fa92a53d3f2b8424ad6154be1e5a25037e96734d79ca4803395351c8f51,61,MCC-P-8518-SG-EN-A4 04/25,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-013,twiflex,MU3,maximum braking force,2.75,kN,At 5 bar; conditioned pads; nominal friction coefficient 0.4,https://www.twiflex.com/-/media/project/altramotion/shared/files/literature/brand/twiflex-limited/catalogs/p-1648-tf.pdf?rev=920b53b1879149a08c1962382d264058,644a8ed2bafcf3c662d28f8464a6b1c717abb65c356e1a00cfb5b38cb38b47db,8,P-1648-TF 3/21; printed page 6,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-014,twiflex,MU3,maximum pressure,5,bar,Pneumatic applied / spring released variant,https://www.twiflex.com/-/media/project/altramotion/shared/files/literature/brand/twiflex-limited/catalogs/p-1648-tf.pdf?rev=920b53b1879149a08c1962382d264058,644a8ed2bafcf3c662d28f8464a6b1c717abb65c356e1a00cfb5b38cb38b47db,8,P-1648-TF 3/21; printed page 6,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-015,twiflex,MU series,minimum disc diameter,150,mm,Series guidance; mounting and specific variant require review,https://www.twiflex.com/-/media/project/altramotion/shared/files/literature/brand/twiflex-limited/catalogs/p-1648-tf.pdf?rev=920b53b1879149a08c1962382d264058,644a8ed2bafcf3c662d28f8464a6b1c717abb65c356e1a00cfb5b38cb38b47db,8,P-1648-TF 3/21; printed page 6,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-016,svendborg,BSFI 100 MONOspring,maximum operating pressure,23.0,MPa,Catalogue specification; do not generalize to other BSFI models,https://svendborg-brakes.com/media/enuo1zu4/product-catalogue.pdf,e8078a73e7e4072d7daf7dc7cedacb33a8ed228c2bc1551d9f0d838293e43b59,5,P-7575-SV 7/20; printed page 4,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-017,svendborg,BSFI 100 MONOspring,general operating temperature,-20 to +70,deg C,Manufacturer requests consultation outside range; not friction-surface limit,https://svendborg-brakes.com/media/enuo1zu4/product-catalogue.pdf,e8078a73e7e4072d7daf7dc7cedacb33a8ed228c2bc1551d9f0d838293e43b59,5,P-7575-SV 7/20; printed page 4,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-018,svendborg,BSFI 100 MONOspring,actuating time guide,0.4,s,"Guide value for calculation, not a guaranteed response in every installation",https://svendborg-brakes.com/media/enuo1zu4/product-catalogue.pdf,e8078a73e7e4072d7daf7dc7cedacb33a8ed228c2bc1551d9f0d838293e43b59,5,P-7575-SV 7/20; printed page 4,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-019,mondel,Angled brake wheel; OD 8 in,maximum speed,5000,rpm,"8-inch OD row, angled wheel table; shaft/interface suitability separately required",https://www.cmco.com/globalassets/inriver/resources/MH638_Brake-Accessories-Brochure-FINAL.pdf,7e6d04f3c961dbc57ebc1b8b12c09c7da687195c405dfbd8c27038d5aac5decb,2,MH638 Brake Accessories 2/16,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-020,mondel,Angled brake wheel; OD 8 in,weight,32,lb,8-inch OD row; do not treat as finished custom bore mass,https://www.cmco.com/globalassets/inriver/resources/MH638_Brake-Accessories-Brochure-FINAL.pdf,7e6d04f3c961dbc57ebc1b8b12c09c7da687195c405dfbd8c27038d5aac5decb,2,MH638 Brake Accessories 2/16,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-021,mondel,Angled brake wheel; OD 8 in,heat dissipation,1800000,ft lbf/h,Published table figure; thermal boundary conditions not specified on this page,https://www.cmco.com/globalassets/inriver/resources/MH638_Brake-Accessories-Brochure-FINAL.pdf,7e6d04f3c961dbc57ebc1b8b12c09c7da687195c405dfbd8c27038d5aac5decb,2,MH638 Brake Accessories 2/16,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-022,emg,ELHY,ambient temperature range,-45 to +80,deg C,Family-level product-page claim; configuration and fluid must be confirmed,https://www.emg.elexis.group/solutions/safety-components/emg-elhy,386f6af91560f432f84903edcdbf5cf759ff64fcc45e70b45f1ac1684a36f648,,,2026-09-07,source-checked by AI; not independently tested,archived official product-page text,not approved as design input
SPEC-023,emg,ELHY,available enclosure protection,up to IP68,rating,"Configuration-dependent claim, not standard rating of every unit",https://www.emg.elexis.group/solutions/safety-components/emg-elhy,386f6af91560f432f84903edcdbf5cf759ff64fcc45e70b45f1ac1684a36f648,,,2026-09-07,source-checked by AI; not independently tested,archived official product-page text,not approved as design input
SPEC-024,emg,ELHY,factory testing claim,100% function and endurance run,manufacturer claim,Claim describes production testing; not independent validation or lifetime certification,https://www.emg.elexis.group/solutions/safety-components/emg-elhy,386f6af91560f432f84903edcdbf5cf759ff64fcc45e70b45f1ac1684a36f648,,,2026-09-07,source-checked by AI; not independently tested,archived official product-page text,not approved as design input
